Item Id,Item URI,Dublin Core:Title,Dublin Core:Subject,Dublin Core:Description,Dublin Core:Creator,Dublin Core:Source,Dublin Core:Publisher,Dublin Core:Date,Dublin Core:Contributor,Dublin Core:Rights,Dublin Core:Relation,Dublin Core:Format,Dublin Core:Language,Dublin Core:Type,Dublin Core:Identifier,Dublin Core:Coverage,Item Type Metadata:Text,Item Type Metadata:Transcription,Item Type Metadata:Local URL,Item Type Metadata:Original Format,Item Type Metadata:Physical Dimensions,Item Type Metadata:From,Item Type Metadata:To,Item Type Metadata:Number of Attachments,Item Type Metadata:URL,Item Type Metadata:Birth Date,Item Type Metadata:Birthplace,Item Type Metadata:Death Date,Item Type Metadata:Biographical Text,Item Type Metadata:Bibliography,Item Type Metadata:Journal Entry,Item Type Metadata:Footnotes,Item Type Metadata:Location,PDF Text:Text,tags,file,itemType,collection,public,featured
1494,https://georgeeliotarchive.org/items/show/1494,"George Eliot to Isaac P. Evans, 1880-05-26",Isaac P. Evans,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:352-353","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Isaac Pearson Evans,Letters",https://georgeeliotarchive.org/files/original/93dcb1182c794a9ab0dcc0c62fe5e6a6.pdf,,Correspondence - The John Cross Collection,1,0
1493,https://georgeeliotarchive.org/items/show/1493,"George Eliot to Florence Cross, 1880-05-25",Florence Cross,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:350-352","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Florence Cross,Letters",https://georgeeliotarchive.org/files/original/06b76fe283102c8c1f5fc6899868d5e3.pdf,,Correspondence - The John Cross Collection,1,0
1492,https://georgeeliotarchive.org/items/show/1492,"George Eliot to Charles L. Lewes, 1880-05-21",Charles L. Lewes,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:350","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charles Lee Lewes,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/fbedb02a2cf1728c14c57a646745a662.pdf,,Correspondence - The John Cross Collection,1,0
1491,https://georgeeliotarchive.org/items/show/1491,"George Eliot to Eleanor Cross, 1880-05-09",Eleanor Cross,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:348-350","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Eleanor Cross,Letters",https://georgeeliotarchive.org/files/original/27f085c0641fd353654d2d625e3f718d.pdf,,Correspondence - The John Cross Collection,1,0
1490,https://georgeeliotarchive.org/items/show/1490,"George Eliot to Maria Bury Congreve, 1880-05-05",Maria Bury Congreve,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:347-348","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Letters,Maria Bury Congreve",https://georgeeliotarchive.org/files/original/ed67b7e961a965aabc865e9c71234b05.pdf,,Correspondence - The John Cross Collection,1,0
1489,https://georgeeliotarchive.org/items/show/1489,"George Eliot to Barbara Leigh Smith Bodichon, 1880-05-05",Barbara Leigh Smith Bodichon,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:346-347","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbara Leigh Smith Bodichon,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/80c13324c49357777759d58d0b067fa4.pdf,,Correspondence - The John Cross Collection,1,0
1488,https://georgeeliotarchive.org/items/show/1488,"George Eliot to James Sully, 1880-04-26",James Sully,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:346","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,James Sully,Letters",https://georgeeliotarchive.org/files/original/0365735de199b9cfef3eddd4cca3b7dc.pdf,,Correspondence - The John Cross Collection,1,0
1486,https://georgeeliotarchive.org/items/show/1486,"George Eliot to Edith Villiers Lytton, 1880-04-24",Edith Villiers Lytton,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:345-346","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Edith Villiers Lytton,Letters",https://georgeeliotarchive.org/files/original/12562bf605eeece59a580e64da3ad95e.pdf,,Correspondence - The John Cross Collection,1,0
1485,https://georgeeliotarchive.org/items/show/1485,"George Eliot to Frederic Harrison, 1880-04-19",Frederic Harrison,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:344-345","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Frederic Harrison,Letters",https://georgeeliotarchive.org/files/original/7c84540febc50e8d7819a056e33385fb.pdf,,Correspondence - The John Cross Collection,1,0
1484,https://georgeeliotarchive.org/items/show/1484,"George Eliot to Eleanor Cross, 1880-04-13",Eleanor Cross,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:343-344","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Eleanor Cross,Letters",https://georgeeliotarchive.org/files/original/ab4b7581b444fd9bbcdf2a45d908a93c.pdf,,Correspondence - The John Cross Collection,1,0
